xinxi,leixing
您好，不知道这个平台能否投诉。2017年8月16日下午约三点半左右，车牌号及车身号码均为0171的交警车辆，在红桥区五爱道依法完成对路边随意停车的车辆进行摄录，作为天津市民，特别是全运期间，觉得很有必要。但是就在工作任务结束后，这几位交警乘坐之前所提到的这辆警车从五爱道左转驶入丁字沽三号路先后违反交通规则压越黄线、逆行、闯红灯，令在场司机非常愤慨。作为执法者是否更应该严于律己，特别是刚刚执法完。希望有关部门重视，亦可调阅当时路口监控，证明我的举报内容。,0
"嫌疑人性别:男, 是否是少数民族:不详, 嫌疑人身高:170以下, 嫌疑人年龄:20-30, 军粮城示范镇夏荷轩北菜市场，每周二周五上午集市有人扒窃钱包手机",0
发生时间: 2017/8/17 09:59发生地点: 直沽二楼会议室嫌疑人性别: 男是否是少数民族: 否嫌疑人身高: 170以下嫌疑人年龄: 20-30手段: 有害气体有一男子，在直沽轻轨基地，公然释放有毒害气体！！！,1
地铁站附近共享单车乱摆乱放，影响行人通过。,1
塘沽步行街口客流大，车多，经常造成交通堵塞，交通事故。,0
"日期:2017-8-18, 时间:15:10, 发生地点:直沽, 嫌疑人性别:男, 是否是少数民族:否, 嫌疑人身高:170以下, 嫌疑人年龄:20以下, 手段:其他, 讲解",1
塘沽轻轨站B厅出口电梯雨天漏水，不能正常开启,0
复康路新技术产业园区公交站旁，有一个消火栓被绿篱包围，影响正常使用。,1
轻轨军粮城站外黑出租乱停放，影响交通及乘客正常出行,1
军粮城轻轨站出站闸机口经常无法使用,1
嫌疑人性别: 男是否是少数民族: 是嫌疑人身高: 170以下嫌疑人年龄: 20以下试用一下,0
郭辛庄桥靠近辰永路一侧的桥头，有一口井的井盖丢失，上面盖着一些杂物，存在安全隐患。,0
河北区月牙河北道上有多个亲水平台，但是靠近河边的护栏损坏严重，给来此休闲散步的居民带来安全隐患。,0
天津车祸,0
新开河沿线绿化非常好。，是附近居民锻炼的好去处。可有人在河堤上吃烧烤，垃圾扔的到处都是，既影响环境又容易引起火灾。,0
今天不在家今天不在家，好的今天不在家好的今天不在家好的今天不在家好的今天不在家好的今天不在家好的今天不在家好的今天不在家好的今天不在家好的,0
嫌疑人性别: 男是否是少数民族: 是嫌疑人身高: 170以下嫌疑人年龄: 20以下110,1
"嫌疑人性别:女, 是否是少数民族:否, 嫌疑人身高:170以下, 嫌疑人年龄:30-40, 扒窃",1
前天9号线安检员发工资后，今日17名安检员集体不辞而别。仅东海路站缺员3名，安检工作受到影响,1
自从轻轨车站全面禁烟以来，仍有内部员工在站内卫生间或原吸烟区内吸烟。,0
自9月2日9号线安检员17人不辞而别集体离开后，据了解，仍有一些安检员打算近期离开。,1
南开区，兴泰路本身道路狭窄。但是每天晚间七点半以后总有车辆在道路双向停车的情况下，再行双排停车。致道路拥堵，对车辆行人通行造成极大安全隐患。,1
红星路与津塘路交口（人人乐超市旁的十字路口），行人特别是老人步行及骑车闯红灯现象极其严重，大家把闯红灯当作一种习以为常的行为，不仅给自己的人身安全带来隐患，还造成该路口车辆拥堵，望有关部门督促管制。,1
发生打架,0
胡家园轻轨站由于昨天大雨，今日车站外积水达20至30厘米严重影响乘客进出车站,1
"嫌疑人性别:男, 是否是少数民族:否, 嫌疑人身高:170-180, 嫌疑人年龄:20-30, 在直沽菜市场附近，有一年轻男子跟踪一位70左右老人，实施行窃。",0
河东区六纬路,0
天津市宝坻区牛道口镇，宝武路芮家庄桥东侧，有运油车给工地车辆私自加油，有安全隐患,0
东丽区张贵庄村村民，因还迁问题，去镇里。,1
在十一经路劳务市场附近有人聚众赌博。,0
天津地铁二号线曹庄站车厢内有一名老年乞讨人员乞讨,0
六纬路,0
六纬路,0
在塘沽有些人员流通量大的地区，共享单车大量摆放，影响正常的通行，建议少量投放，或者合理投放。,0
塘沽区杭州道附近有外地牌照假出租车拉活。,1
东丽开发区东园花园小区晚上没有路灯,1
自从八月中旬轻轨车站安检员不能在轻轨车站住宿以来，安检员每日休息时间严重严重不足。,1
