,xinxi,cutted_xinxi
0,您好，不知道这个平台能否投诉。2017年8月16日下午约三点半左右，车牌号及车身号码均为0171的交警车辆，在红桥区五爱道依法完成对路边随意停车的车辆进行摄录，作为天津市民，特别是全运期间，觉得很有必要。但是就在工作任务结束后，这几位交警乘坐之前所提到的这辆警车从五爱道左转驶入丁字沽三号路先后违反交通规则压越黄线、逆行、闯红灯，令在场司机非常愤慨。作为执法者是否更应该严于律己，特别是刚刚执法完。希望有关部门重视，亦可调阅当时路口监控，证明我的举报内容。,您好 ， 不 知道 这个 平台 能否 投诉 。 2017 年 8 月 16 日 下午 约 三点 半左右 ， 车牌号 及 车身 号码 均 为 0171 的 交警 车辆 ， 在 红桥区 五爱道 依法 完成 对 路边 随意 停车 的 车辆 进行 摄录 ， 作为 天津 市民 ， 特别 是 全运 期间 ， 觉得很有 必要 。 但是 就 在 工作 任务 结束 后 ， 这 几位 交警 乘坐 之前 所 提到 的 这辆 警车 从 五爱道 左转 驶入 丁字 沽 三号 路 先后 违反 交通规则 压越 黄线 、 逆行 、 闯红灯 ， 令 在场 司机 非常 愤慨 。 作为 执法者 是否 更 应该 严于律己 ， 特别 是 刚刚 执法 完 。 希望 有关 部门 重视 ， 亦可 调阅 当时 路口 监控 ， 证明 我 的 举报 内容 。
1,"嫌疑人性别:男, 是否是少数民族:不详, 嫌疑人身高:170以下, 嫌疑人年龄:20-30, 军粮城示范镇夏荷轩北菜市场，每周二周五上午集市有人扒窃钱包手机","嫌疑人 性别 : 男 ,   是否是 少数民族 : 不详 ,   嫌疑人 身高 : 170 以下 ,   嫌疑人 年龄 : 20 - 30 ,   军粮 城 示范 镇夏荷 轩北 菜市场 ， 每周 二 周五 上午 集市 有人 扒窃 钱包 手机"
2,发生时间: 2017/8/17 09:59发生地点: 直沽二楼会议室嫌疑人性别: 男是否是少数民族: 否嫌疑人身高: 170以下嫌疑人年龄: 20-30手段: 有害气体有一男子，在直沽轻轨基地，公然释放有毒害气体！！！,发生 时间 :   2017 / 8 / 17   09 : 59 发生 地点 :   直沽 二楼 会议室 嫌疑人 性别 :   男 是否是 少数民族 :   否 嫌疑人 身高 :   170 以下 嫌疑人 年龄 :   20 - 30 手段 :   有害 气体 有 一 男子 ， 在 直沽 轻轨 基地 ， 公然 释放 有 毒害 气体 ！ ！ ！
3,地铁站附近共享单车乱摆乱放，影响行人通过。,地铁站 附近 共享 单车 乱 摆 乱放 ， 影响 行人 通过 。
4,塘沽步行街口客流大，车多，经常造成交通堵塞，交通事故。,塘沽 步行街 口 客流 大 ， 车多 ， 经常 造成 交通堵塞 ， 交通事故 。
5,"日期:2017-8-18, 时间:15:10, 发生地点:直沽, 嫌疑人性别:男, 是否是少数民族:否, 嫌疑人身高:170以下, 嫌疑人年龄:20以下, 手段:其他, 讲解","日期 : 2017 - 8 - 18 ,   时间 : 15 : 10 ,   发生 地点 : 直沽 ,   嫌疑人 性别 : 男 ,   是否是 少数民族 : 否 ,   嫌疑人 身高 : 170 以下 ,   嫌疑人 年龄 : 20 以下 ,   手段 : 其他 ,   讲解"
6,塘沽轻轨站B厅出口电梯雨天漏水，不能正常开启,塘沽 轻轨站 B 厅 出口 电梯 雨天 漏水 ， 不能 正常 开启
7,复康路新技术产业园区公交站旁，有一个消火栓被绿篱包围，影响正常使用。,复 康路 新 技术产业 园区 公交站 旁 ， 有 一个 消火栓 被 绿篱 包围 ， 影响 正常 使用 。
8,轻轨军粮城站外黑出租乱停放，影响交通及乘客正常出行,轻轨 军粮 城站 外 黑 出租 乱 停放 ， 影响 交通 及 乘客 正常 出行
9,军粮城轻轨站出站闸机口经常无法使用,军粮 城 轻轨站 出站 闸 机口 经常 无法 使用
